,latitude,longitude,price,_Entire home/apt,_Hotel room,_Private room,_Shared room,rating
0,47.35724,8.52304,200.0,1,0,0,0,3.0
1,47.36565,8.52753,60.0,0,0,1,0,5.0
2,47.40656,8.48465,200.0,0,0,1,0,3.0
3,47.33463,8.54117,69.0,0,0,1,0,5.0
4,47.38942,8.51881,650.0,1,0,0,0,1.0
5,47.39282,8.52685,156.0,1,0,0,0,3.0
6,47.38326,8.52718,72.0,0,0,1,0,5.0
7,47.37284,8.54324,159.0,1,0,0,0,3.0
8,47.37896,8.50787,210.0,1,0,0,0,3.0
9,47.36802,8.54813,360.0,1,0,0,0,2.0
10,47.37008,8.51368,115.0,1,0,0,0,4.0
11,47.40419,8.49593,210.0,1,0,0,0,2.0
12,47.40703,8.55232,220.0,1,0,0,0,2.0
13,47.39232,8.52876,185.0,1,0,0,0,2.0
14,47.38003,8.50829,65.0,0,0,1,0,5.0
15,47.3748,8.52668,120.0,0,0,1,0,5.0
16,47.39354,8.53019,134.0,1,0,0,0,3.0
17,47.3937,8.52998,165.0,1,0,0,0,2.0
18,47.35468,8.48535,250.0,1,0,0,0,3.0
19,47.37449,8.52116,490.0,1,0,0,0,1.0
20,47.40239,8.49519,54.0,0,0,1,0,4.0
21,47.36202,8.52058,219.0,1,0,0,0,3.0
22,47.37929,8.5352,106.0,1,0,0,0,3.0
23,47.39396,8.50829,123.0,1,0,0,0,3.0
24,47.35725,8.55699,153.0,1,0,0,0,4.0
25,47.36406,8.55057,98.0,1,0,0,0,4.0
26,47.36508,8.57226,77.0,1,0,0,0,4.0
27,47.3661,8.50282,96.0,1,0,0,0,4.0
28,47.33142,8.5374,65.0,0,0,1,0,5.0
29,47.35242,8.57012,300.0,1,0,0,0,3.0
30,47.40782,8.55461,95.0,0,0,1,0,4.0
31,47.38302,8.54983,75.0,0,0,1,0,5.0
32,47.38435,8.53154,90.0,0,0,1,0,4.0
33,47.36538,8.52406,55.0,0,0,1,0,5.0
34,47.37969,8.55919,91.0,1,0,0,0,3.0
35,47.36724,8.55179,314.0,1,0,0,0,2.0
36,47.3681,8.55116,242.0,1,0,0,0,3.0
37,47.36401,8.55047,53.0,1,0,0,0,4.0
38,47.38015,8.49808,150.0,0,0,1,0,4.0
39,47.39408,8.53195,80.0,1,0,0,0,3.0
40,47.37015,8.52678,165.0,1,0,0,0,3.0
41,47.3868,8.51292,161.0,1,0,0,0,3.0
42,47.36288,8.52304,100.0,0,0,1,0,5.0
43,47.36644,8.56301,54.0,0,0,1,0,5.0
44,47.36644,8.56301,54.0,0,0,1,0,5.0
45,47.38015,8.52768,417.0,1,0,0,0,1.0
46,47.36589,8.56362,54.0,0,0,1,0,5.0
47,47.36407,8.52113,71.0,0,0,1,0,5.0
48,47.37137,8.52822,65.0,0,0,1,0,5.0
49,47.37315,8.5458,113.0,1,0,0,0,3.0
50,47.39516,8.51727,120.0,1,0,0,0,3.0
51,47.36347,8.51749,162.0,1,0,0,0,3.0
52,47.37475,8.54413,140.0,1,0,0,0,3.0
53,47.33763,8.53492,70.0,0,0,1,0,5.0
54,47.362209,8.561128,85.0,0,0,1,0,5.0
55,47.37638,8.54463,85.0,1,0,0,0,4.0
56,47.37738,8.54754,136.0,1,0,0,0,3.0
57,47.38644,8.50317,575.0,1,0,0,0,1.0
58,47.38644,8.50317,575.0,1,0,0,0,1.0
59,47.38644,8.50317,575.0,1,0,0,0,1.0
60,47.38644,8.50317,575.0,1,0,0,0,1.0
