id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,_Entire home/apt,_Hotel room,_Private room,_Shared room
6.73522E+17,Bright and cozy apartment in Zurich,20942161,Lucille,Kreis 7,Hottingen,47.36594,8.56288,119,7,1,18/09/2022,1,1,33,1,1,0,0,0
6.74412E+17,SchÃ¶ne und zentrale Wohnung im Herzen ZÃ¼richs,21911612,Severin,Kreis 3,Sihlfeld,47.37607,8.51423,120,10,0,,,2,339,0,0,0,1,0
6.74536E+17,"2 Room Flat,Zurich Center-close to central station",420370006,Kamila,Kreis 4,Langstrasse,47.37783,8.52933,250,1,6,18/09/2022,4.39,14,364,6,1,0,0,0
6.75924E+17,Big and Spacious Apartment with a nice a quite ter,1229459,Novac Solutions GmbH,Kreis 7,Hirslanden,47.35832,8.57163,243,2,4,02/09/2022,2.14,16,300,4,1,0,0,0
6.75929E+17,Nice and quite apartment for two - 10 min away fro,1229459,Novac Solutions GmbH,Kreis 7,Hirslanden,47.35987,8.57021,150,2,1,02/09/2022,1,16,330,1,1,0,0,0
6.76118E+17,2.5 Zimmer 15m2 Terrase,6996725,Ãlvaro,Kreis 2,Wollishofen,47.34749,8.52955,100,1,0,,,1,363,0,1,0,0,0
6.772E+17,Lovely and quiet 2 bedrooms flat with large garden,12410150,Yannick,Kreis 11,Affoltern,47.4155408,8.5318058,80,3,2,25/08/2022,1.13,1,53,2,1,0,0,0
6.77225E+17,Sharing apartment near to Triemli,161739523,Jakub,Kreis 3,Friesenberg,47.36785,8.50174,80,30,0,,,1,325,0,0,0,1,0
6.78676E+17,"Grosse, ruhige Statdtwohnung.",450724024,Daniel,Kreis 10,HÃ¶ngg,47.4059942,8.4875936,130,7,0,,,1,72,0,1,0,0,0
6.78913E+17,Lovely Central studio appartment with Patio,5316566,Renato,Kreis 3,Alt-Wiedikon,47.36901,8.51819,110,2,1,14/08/2022,0.73,1,271,1,1,0,0,0
6.7932E+17,Room with a leap into Lake of Zurich,30583862,Unger,Kreis 2,Wollishofen,47.347157,8.5324175,90,6,3,03/09/2022,2.31,1,75,3,0,0,1,0
6.79539E+17,New Studio in the Center of Zurich Old Town11,420370006,Kamila,Kreis 1,Rathaus,47.37521,8.54277,200,1,1,28/08/2022,1,14,16,1,1,0,0,0
6.79596E+17,"Einfamilienhaus / House, 3 bdrs, garden, parking",226717344,Stephan,Kreis 11,Oerlikon,47.41287,8.53075,271,2,6,11/09/2022,5,1,231,6,1,0,0,0
6.80301E+17,BRIGHT SEEFELD APARTMENT 2-MIN WALK FROM LAKE ZURI,71784644,Jules,Kreis 8,Seefeld,47.3597903,8.5501924,275,3,0,,,1,304,0,1,0,0,0
6.80946E+17,Zentrale Stadtwohnung nÃ¤he See,73227046,Alina,Kreis 2,Enge,47.36119,8.52979,220,3,2,27/08/2022,1.87,1,68,2,1,0,0,0
6.81012E+17,Easy Studio Apartment,58818657,Book A Home AG,Kreis 11,Affoltern,47.4188639,8.5080646,90,7,0,,,37,267,0,1,0,0,0
6.81067E+17,*CENTRAL LOCATED & COZY APARTMENT IN THE HERAT OF,1229459,Novac Solutions GmbH,Kreis 7,Hottingen,47.36663,8.55271,206,2,4,18/09/2022,4,16,268,4,1,0,0,0
6.81076E+17,*Spacious Apartment with a big terrace and nice gr,1229459,Novac Solutions GmbH,Kreis 7,Hirslanden,47.36212,8.56072,477,3,3,04/09/2022,3,16,244,3,1,0,0,0
